id,id_type,pid1,pid2,name,geoser_DB,geoserver_layer,dataType,resolution,zip_level,URL,others,Absolute_path,resPath,wmts,note
MODIS_Landcover,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,,,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2001,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2001.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2001.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2002,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2002.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2002.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2003,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2003.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2003.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2004,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2004.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2004.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2005,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2005.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2005.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2006,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2006.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2006.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2007,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2007.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2007.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2008,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2008.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2008.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2009,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2009.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2009.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2010,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2010.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2010.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2011,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2011.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2011.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2012,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2012.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2012.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2013,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2013.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2013.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2014,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2014.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2014.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2015,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2015.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2015.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2016,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2016.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2016.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2017,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2017.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2017.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2018,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2018.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2018.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2019,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2019.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2019.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
modis2020,landcover_modis,土地覆盖数据,低分辨率土地覆盖数据,modis土地覆盖,landcover100_resample_china,MODIS_LANDCOVER2005,byte,500,10,https://zhuanlan.zhihu.com/p/619527268,3,F:/landcover100_com_DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2020.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/MODIS_landcover/MODIS_LANDCOVER2020.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3AMODIS_LANDCOVER2005&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=6&TileCol=47&TileRow=24,
ESA_CCI,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,,,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=12,
ESA_CCI_1992,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/1992_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/1992_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=13,
ESA_CCI_1993,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/1993_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/1993_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=14,
ESA_CCI_1994,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/1994_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/1994_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=15,
ESA_CCI_1995,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/1995_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/1995_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=16,
ESA_CCI_1996,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/1996_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/1996_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=17,
ESA_CCI_1997,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/1997_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/1997_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=18,
ESA_CCI_1998,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/1998_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/1998_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=19,
ESA_CCI_1999,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/1999_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/1999_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=20,
ESA_CCI_2000,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/2000_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/2000_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=21,
ESA_CCI_2001,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/2001_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/2001_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=22,
ESA_CCI_2002,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/2002_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/2002_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=23,
ESA_CCI_2003,landcover_ESA_CCI,土地覆盖数据,低分辨率土地覆盖数据,ESA_CCI土地覆盖,landcover100_resample_china,ESA_CCI,byte,300,20,https://www.esa-landcover-cci.org/,3,F:/landcover100_com_DB/Land_Cover/low_resolution/ESA_CCI_300m/china_esa_cci/2003_v2.0.7_ESA_CCI.tif,/mnt/yundisk/landcover100DB/Land_Cover/low_resolution/ESA_CCI_300m/2003_v2.0.7_ESA_CCI.tif,https://geoserver.landcover100.com/geoserver/landcover100_resample_china/gwc/service/wmts?layer=landcover100_resample_china%3A2020_v2.1.1_ESA_CCI&style=&tilematrixset=WebMercatorQuad&Service=WMTS&Request=GetTile&Version=1.0.0&Format=image%2Fjpeg&TileMatrix=5&TileCol=24&TileRow=24,
